Title,AgentCompanyName,BC Agent Name,BC Vendor Code,Other Remarks
216,MV Test,,,N/A
838,A PLUS EDUCATION CONSULTING SERVICE - Taiwan,,,N/A
877,AC SERVICES ENTERPRISE - Kota Kinabalu,,,N/A
880,ACADEMIC ASIA - Taiwan,Academic Asia Taiwan,108003120,
892,ACE ACADEMIC AND CONTINUING EDUCATION LIMITED - Hong Kong,,,N/A
898,ACIC AUSTRALIAN COLLEGE INFORMATION CENTRE - Sydney,ACIC Pty Ltd,A108000707,
901,ACOS EDUCATION CENTRE - Sydney,,,N/A
922,AEA AUSTRALIA EDUCATION ASSOCIATION - Perth,,,N/A
923,AEC AUSTRALIAN EDUCATION CONSULTANCY LIMITED - Hong Kong,AEC International Education Pty Ltd,A108001078,
936,AEO - Pakistan,AEO Pakistan,108000535,
992,ALFALINK - Surabaya,Alfalink,A108000872,
1590,AMET EDUCATION - Taipei,AMET Education Pty Ltd,108002648,
1636,APEX EDUCATION CONSULTANT - Bangkok,,,N/A
1676,AS STUDENT SERVICES - Sydney,AS Student Service,A108000038,
1678,STUDYZONE - Jakarta,Studyzone,A108001778,
1689,ASIA - EUROPE CO LTD - Ho Chi Minh,,,N/A
1692,Aspectama International Student Advisor,,,N/A
1709,ASTON EDUCATION - Hong Kong,Aston Education,108000784,
1740,AUG - Melbourne,AusEd-UniEd International Pty Ltd,A108000045,
1741,AUG - Melaka,AusEd-UniEd International Pty Ltd,A108000045,
1744,AUG - Subang Jaya,AusEd-UniEd International Pty Ltd,A108000045,
1750,AUG - Sydney,AusEd-UniEd International Pty Ltd,A108000045,
1752,AUSASIA INTERNATIONAL INSTITUTE - Taiwan,,,N/A
1753,AUSCAN CONSULTANTS - Chandigarh,,,N/A
1756,AUG - Singapore,AusEd-UniEd International Pty Ltd,A108000045,
1771,S7 Study,,,N/A
1773,AUSTRALIA GO PTY LTD - Queensland,Australia GO,A108000854,
1779,AUSTRALIA TAIWANESE OVERSEAS STUDENT SERVICE CENTRE - Sydney,,,N/A
1782,AUSTRALIAN CENTRE - Parkville,,,N/A
1789,INFORMATION PLANET - Sydney,,,N/A
1821,AUSTRALIAN INTERNATIONAL EDUCATION SERVICES (AIES),,,N/A
1832,AUSTRALIAN VISA AND STUDENT SERVICES - Sydney,Australian Visa & Student Services,108000068,
1868,BADA EDUCATION - Seoul,Bada Education Centre SEOUL,A108000469,
1869,BADA EDUCATION - Busan,Bada Education Centre SEOUL,A108000469,
1871,BADA EDUCATION - Sydney,BaDa Edu Cntr Sydney,A108000071,
1872,BADA EDUCATION - Adelaide,BaDa Edu Cntr Sydney,A108000071,
1988,"JJL Overseas Education Consulting and Service Co., Ltd.",,,N/A
1989,AOJI EDUCATION GROUP - Beijing,AOJI Enrolment Centre of International Education,10800163,
1993,BEIJING ZIMING CULTURAL AND COMMUNICATION CO LTD - Beijing,IAE China-Beijing Huatongxinnuo Intl Cult Exch Ctr,108001440,
2148,BRIDGE BLUE Pty Ltd -Sydney,Bridge Blue Pty Ltd,A108000621,
2256,Campus Studies LTD.,Campus Studies Ltd,A108000640,
2477,CHENGDU HUAYING CONSULTING AND SERVICE CO LTD - China,,,N/A
2493,CHIAO SHUN INTERNATIONAL PTY LTD - Taipei,,,N/A
2523,CHONGRO OVERSEAS EDUCATIONAL INSTITUTE - Seoul,Chongro Overseas Educational Institute,108000599,
2592,CMS (PTE) LTD - Singapore,,,N/A
2791,COSMO EDUCATION - Jakarta,Cosmo Education,A108001051,
2826,CP EDUCATION AND MIGRATION - Melbourne,CP Education Australia,A108000116,
2827,Craggy Range Vineyards Ltd,,,N/A
2923,DADI OVERSEAS STUDIES SERVICE CENTRE,DADI Overseas Studies Service Centre,108000615,
2926,D.H EDUCATION (DAEHAN EDUCATION CENTRE) - Sydney,,,N/A
3056,DK SCIENCE AND LEARNING - Sydney,DK Science and Learning,A108000135,
3063,STUDY SA (formerly DOM Education) - Adelaide,,,N/A
3064,DOM EDUCATION - Brisbane,,,N/A
3075,DOOSAN EDU INTERNATIONAL - Korea,,,N/A
3107,DUC ANH OVERSEAS STUDY ADVISORY & TRANSLATION Joint Stock Company - Hanoi,Duc Anh Advisory & Translation Edu,108001013,
3191,EDEN EDUCATION & MIGRATION CENTRE - Sydney,,,N/A
